home_team,away_team,tournament_rank,home_rank,away_rank,home_team_gd,away_team_gd,target
Kuwait,Australia,1,55,21,-57,24,0
Thailand,Jordan,1,52,40,-50,-23,0
United Arab Emirates,Malaysia,1,41,53,9,-76,1
Zambia,South Korea,1,46,20,-25,44,1
Egypt,Nigeria,1,25,30,1,-12,1
Zambia,Tunisia,1,46,32,-25,-6,0
Ivory Coast,Ghana,1,31,44,0,-12,1
Cameroon,Zambia,1,33,46,-23,-25,1
Chile,Panama,1,37,24,10,-74,1
Oman,Sweden,1,45,23,-31,-1,0
Thailand,Poland,1,52,27,-50,-33,0
Cameroon,Tunisia,1,33,32,-23,-6,0
United States,Honduras,1,14,50,57,-86,0
Ivory Coast,Algeria,1,31,26,0,7,0
Egypt,Cameroon,1,25,33,1,-23,1
Zambia,Nigeria,1,46,30,-25,-12,0
Argentina,Costa Rica,1,1,28,108,-58,1
Algeria,Egypt,1,26,25,7,1,0
Ghana,Nigeria,1,44,30,-12,-12,1
Nigeria,Algeria,1,30,26,-12,7,1
Ghana,Egypt,1,44,25,-12,1,0
Japan,China PR,1,16,51,97,-47,0
Argentina,Jamaica,1,1,42,108,-79,1
China PR,South Korea,1,51,20,-47,44,1
Japan,South Korea,1,16,20,97,44,0
United States,El Salvador,1,14,47,57,-93,1
Kuwait,Bahrain,1,55,49,-57,-54,1
Belgium,Croatia,1,8,10,63,-5,0
England,Egypt,1,4,25,42,1,1
France,Spain,1,3,2,72,103,0
Germany,Argentina,1,9,1,52,108,0
Iran,Thailand,1,18,52,45,-50,1
Italy,Cameroon,1,11,33,-2,-23,0
Ivory Coast,South Korea,1,31,20,0,44,0
Japan,Bahrain,1,16,49,97,-54,1
Netherlands,United States,1,7,14,47,57,1
Oman,Kuwait,1,45,55,-31,-57,0
Portugal,China PR,1,6,51,77,-47,1
Switzerland,Uruguay,1,17,15,4,45,0
Turkey,Honduras,1,22,50,-20,-86,1
Uzbekistan,United Arab Emirates,1,35,41,-4,9,0
Mexico,Iceland,1,12,43,62,-81,0
South Africa,Jamaica,1,36,42,-7,-79,1
Mexico,Chile,1,12,37,62,10,1
South Africa,Thailand,1,36,52,-7,-50,1
England,Mexico,1,4,12,42,62,1
Japan,South Korea,1,16,20,97,44,0
Nigeria,Saudi Arabia,1,30,39,-12,-20,0
Chile,Zambia,1,37,46,10,-25,1
Estonia,Croatia,1,54,10,-118,-5,0
France,Costa Rica,1,3,28,72,-58,1
Netherlands,Mexico,1,7,12,47,62,1
South Africa,Colombia,1,36,13,-7,66,1
Spain,Saudi Arabia,1,2,39,103,-20,1
United States,Turkey,1,14,22,57,-20,1
Japan,England,1,16,4,97,42,0
Nigeria,Colombia,1,30,13,-12,66,0
Tunisia,France,1,32,3,-6,72,0
Australia,Denmark,1,21,19,24,-9,1
Netherlands,Ghana,1,7,44,47,-12,1
Portugal,Cameroon,1,6,33,77,-23,1
Switzerland,Costa Rica,1,17,28,4,-58,0
Italy,Mexico,1,11,12,-2,62,0
Spain,South Korea,1,2,20,103,44,1
France,China PR,1,3,51,72,-47,0
Japan,Ivory Coast,1,16,31,97,0,0
Algeria,United Arab Emirates,1,26,41,7,9,1
Australia,United States,1,21,14,24,57,0
South Africa,Denmark,1,36,19,-7,-9,1
Switzerland,Italy,1,17,11,4,-2,0
Spain,Poland,1,2,27,103,-33,1
South Africa,Mexico,3,36,12,-7,62,0
Uruguay,France,3,15,3,45,72,0
Argentina,Nigeria,3,1,30,108,-12,1
England,United States,3,4,14,42,57,0
Germany,Australia,3,9,21,52,24,1
Japan,Cameroon,3,16,33,97,-23,1
Netherlands,Denmark,3,7,19,47,-9,1
Ivory Coast,Portugal,3,31,6,0,77,0
Honduras,Chile,3,50,37,-86,10,0
South Africa,Uruguay,3,36,15,-7,45,0
Spain,Switzerland,3,2,17,103,4,0
Argentina,South Korea,3,1,20,108,44,1
France,Mexico,3,3,12,72,62,0
England,Algeria,3,4,26,42,7,0
Cameroon,Denmark,3,33,19,-23,-9,0
Ghana,Australia,3,44,21,-12,24,0
Netherlands,Japan,3,7,16,47,97,1
Brazil,Ivory Coast,3,5,31,187,0,1
Chile,Switzerland,3,37,17,10,4,1
Spain,Honduras,3,2,50,103,-86,1
Mexico,Uruguay,3,12,15,62,45,0
Nigeria,South Korea,3,30,20,-12,44,0
South Africa,France,3,36,3,-7,72,1
Ghana,Germany,3,44,9,-12,52,0
United States,Algeria,3,14,26,57,7,1
Cameroon,Netherlands,3,33,7,-23,47,0
Denmark,Japan,3,19,16,-9,97,0
Chile,Spain,3,37,2,10,103,0
Portugal,Brazil,3,6,5,77,187,0
Switzerland,Honduras,3,17,50,4,-86,0
Uruguay,South Korea,3,15,20,45,44,1
United States,Ghana,3,14,44,57,-12,0
Argentina,Mexico,3,1,12,108,62,1
Germany,England,3,9,4,52,42,1
Brazil,Chile,3,5,37,187,10,1
Spain,Portugal,3,2,6,103,77,1
Netherlands,Brazil,3,7,5,47,187,1
Uruguay,Ghana,3,15,44,45,-12,0
Argentina,Germany,3,1,9,108,52,0
Uruguay,Netherlands,3,15,7,45,47,0
Germany,Spain,3,9,2,52,103,0
Uruguay,Germany,3,15,9,45,52,0
Netherlands,Spain,3,7,2,47,103,0
Italy,Ivory Coast,1,11,31,-2,0,0
United States,Brazil,1,14,5,57,187,0
China PR,Bahrain,1,51,49,-47,-54,0
Denmark,Germany,1,19,9,-9,52,0
South Korea,Nigeria,1,20,30,44,-12,1
Mexico,Spain,1,12,2,62,103,0
Poland,Cameroon,1,27,33,-33,-23,0
South Africa,Ghana,1,36,44,-7,-12,1
Uganda,Zambia,1,48,46,-31,-25,0
Belgium,Germany,1,8,9,63,52,0
China PR,Iran,1,51,18,-47,45,0
Estonia,Italy,1,54,11,-118,-2,0
Oman,Malaysia,1,45,53,-31,-76,1
Panama,Costa Rica,1,24,28,-74,-58,0
Qatar,Bahrain,1,34,49,-1,-54,0
Switzerland,Australia,1,17,21,4,24,0
El Salvador,Honduras,1,47,50,-93,-86,0
Jamaica,Costa Rica,1,42,28,-79,-58,1
Argentina,Spain,1,1,2,108,103,1
Denmark,Iceland,1,19,43,-9,-81,1
Estonia,Uzbekistan,1,54,35,-118,-4,0
Jamaica,Peru,1,42,29,-79,-42,0
South Korea,Iran,1,20,18,44,45,0
Mexico,Colombia,1,12,13,62,66,1
Poland,Australia,1,27,21,-33,24,0
Qatar,Oman,1,34,45,-1,-31,0
Switzerland,England,1,17,4,4,42,0
Turkey,Belgium,1,22,8,-20,63,1
United Arab Emirates,Kuwait,1,41,55,9,-57,1
Jordan,Iraq,1,40,38,-23,-42,1
Jordan,Bahrain,1,40,49,-23,-54,1
Iraq,Oman,1,38,45,-42,-31,1
Iran,Bahrain,1,18,49,45,-54,1
Bahrain,Oman,1,49,45,-54,-31,1
Jordan,Kuwait,1,40,55,-23,-57,0
Oman,Iran,1,45,18,-31,45,0
Iran,Iraq,1,18,38,45,-42,1
Iran,Kuwait,1,18,55,45,-57,0
Iran,Brazil,1,18,5,45,187,0
Germany,Turkey,1,9,22,52,-20,1
Japan,Argentina,1,16,1,97,108,1
Kuwait,Bahrain,1,55,49,-57,-54,0
Panama,El Salvador,1,24,47,-74,-93,1
Peru,Costa Rica,1,29,28,-42,-58,1
Portugal,Denmark,1,6,19,77,-9,1
Saudi Arabia,Uzbekistan,1,39,35,-20,-4,1
United Arab Emirates,Chile,1,41,37,9,10,0
United States,Poland,1,14,27,57,-33,0
Bahrain,Uzbekistan,1,49,35,-54,-4,0
China PR,Uruguay,1,51,15,-47,45,0
Costa Rica,El Salvador,1,28,47,-58,-93,1
Iceland,Portugal,1,43,6,-81,77,0
South Korea,Japan,1,20,16,44,97,0
Netherlands,Sweden,1,7,23,47,-1,1
Oman,Chile,1,45,37,-31,10,0
Panama,Peru,1,24,29,-74,-42,1
Qatar,Iraq,1,34,38,-1,-42,0
United States,Colombia,1,14,13,57,66,0
Bahrain,Uganda,1,49,48,-54,-31,0
Saudi Arabia,Uganda,1,39,48,-20,-31,0
Argentina,Brazil,1,1,5,108,187,1
Chile,Uruguay,1,37,15,10,45,1
Colombia,Peru,1,13,29,66,-42,0
Egypt,Australia,1,25,21,1,24,1
England,France,1,4,3,42,72,0
Iraq,Kuwait,1,38,55,-42,-57,0
Jamaica,Costa Rica,1,42,28,-79,-58,0
Netherlands,Turkey,1,7,22,47,-20,1
Panama,Honduras,1,24,50,-74,-86,1
Poland,Ivory Coast,1,27,31,-33,0,1
Portugal,Spain,1,6,2,77,103,1
Saudi Arabia,Ghana,1,39,44,-20,-12,0
South Africa,United States,1,36,14,-7,57,0
Sweden,Germany,1,23,9,-1,52,0
Kuwait,Qatar,1,55,34,-57,-1,1
Iraq,United Arab Emirates,1,38,41,-42,9,0
Oman,Bahrain,1,45,49,-31,-54,0
Saudi Arabia,Kuwait,1,39,55,-20,-57,0
Bahrain,Iraq,1,49,38,-54,-42,0
United Arab Emirates,Oman,1,41,45,9,-31,0
Qatar,Saudi Arabia,1,34,39,-1,-20,0
Oman,Iraq,1,45,38,-31,-42,0
United Arab Emirates,Bahrain,1,41,49,9,-54,1
Kuwait,Iraq,1,55,38,-57,-42,0
United Arab Emirates,Saudi Arabia,1,41,39,9,-20,0
Thailand,Malaysia,1,52,53,-50,-76,0
Kuwait,Saudi Arabia,1,55,39,-57,-20,1
Qatar,Egypt,1,34,25,-1,1,1
China PR,Estonia,1,51,54,-47,-118,1
Honduras,Panama,1,50,24,-86,-74,1
Qatar,Estonia,1,34,54,-1,-118,1
Bahrain,Uzbekistan,1,49,35,-54,-4,0
